Pitch_Error,Roll_Error
Pitch_Error,Roll_Error
-0.659873,-0.646336
-0.248721,-0.373928
-0.33332,0.289329
-0.780003,0.309632
-1.33159,1.65645
-0.911978,0.032148
-0.705556,0.329936
-0.253797,0.213189
-1.64968,-0.488981
-0.708939,1.46695
-0.852758,0.656488
-0.996576,0.580349
-1.39927,1.27406
-0.901826,-0.13705
-1.7309,1.4128
0.871371,-2.11328
-2.44998,3.13355
-1.44326,1.23007
-0.482213,1.46018
0.0101515,-0.825687
0.570198,0.336704
-0.678478,3.06418
-1.78842,3.01004
-1.17423,1.25207
-0.175965,1.55324
0.553278,1.36881
0.703866,1.51601
0.203041,1.69875
0.00676928,1.09979
-0.629413,1.75628
0.983043,0.732625
-0.208113,0.218266
-0.0609098,1.16408
-0.323168,0.830763
-0.116745,1.19623
-0.47883,0.651413
-0.774927,0.622649
-2.09806,-0.683559
Pitch_Error,Roll_Error
-0.348548,0.148894
-0.351932,0.159046
-0.372236,0.17935
-0.329936,0.157354
-0.360392,0.17089
-0.353624,0.181042
-0.351932,0.175966
-0.335012,0.175966
-0.355316,0.189502
-0.3587,0.175966
-0.343472,0.17089
-0.357008,0.174274
-0.360392,0.164122
-0.360392,0.164122
-0.338396,0.169198
-0.3587,0.172582
-0.340088,0.181042
-0.365468,0.16243
-0.340088,0.157354
-0.3587,0.186118
-0.33332,0.177658
-0.348548,0.17935
-0.346856,0.164122
-0.345164,0.175966
-0.362084,0.16243
-0.365468,0.169198
-0.336704,0.167506
-0.355316,0.169198
-0.355316,0.16243
-0.340088,0.184426
-0.35024,0.184426
-0.345164,0.175966
-0.343472,0.17089
-0.35024,0.174274
-0.363776,0.17089
-0.35024,0.167506
Pitch_Error,Roll_Error
-0.108286,0.524514
-0.201345,0.54651
-0.094749,0.977965
-0.199652,0.940741
-0.16243,-0.362084
-0.88829,0.505902
-1.36881,-0.573581
-0.56343,-0.526205
-0.0389137,1.10486
0.404384,0.722475
-0.443297,0.835839
-1.86287,-1.27744
-0.20473,0.167506
-0.561736,0.910287
-2.47706,2.27064
-1.69029,-1.68352
4.36362,5.4431
4.42114,-1.70383
-1.74105,3.91355
-3.16738,5.77981
5.79673,1.19114
9.60323,-1.95393
-0.536356,1.30452
2.24187,-0.786772
1.77996,-0.169201
1.30452,0.140431
2.785,-0.568509
1.98131,-1.203
2.61073,0.0118398
3.07771,0.34685
2.20634,-1.09302
2.26048,-1.08625
2.71732,-0.443303
2.19788,-0.834148
1.11501,-1.86626
1.75966,-1.5837
2.23341,-0.785081
2.07098,-0.805384
1.95931,-0.785082
Pitch_Error,Roll_Error
0.209805,-0.280869
0.181042,-0.225034
0.214881,-0.0321478
-0.147202,0.0287637
0.150587,0.617573
0.400999,-0.407768
0.116748,0.597269
0.0422996,0.18781
-0.301172,-0.656489
-0.915362,0.231802
-0.725859,-0.800307
-0.756315,-0.181041
0.379005,1.23515
1.35189,-0.0321483
0.125206,-0.155662
-2.73424,-2.65641
5.97603,7.76704
-0.0693711,-0.536358
1.62092,-3.84418
-1.39081,-0.70048
-3.33997,2.78838
-0.615876,2.25372
-1.11501,1.73428
-1.59384,2.34509
-1.7309,0.837531
-0.680175,1.83072
-0.962734,1.80873
-1.17254,2.10652
-0.622644,2.01346
-0.284249,2.30448
-0.817221,2.09298
-1.59554,1.00334
-0.595572,2.00331
-1.20299,1.33159
-0.993191,1.43988
-0.282556,2.26895
-1.00165,1.67506
-0.791847,1.84764
